MATRIC,REC,TUT,Notes
A0306816A,R21,T35,
A0306823H,R23,T41,
A0306831J,R14,T51,
A0306832H,R18,T59,
A0306842E,R17,T02,
A0306845Y,R20,T37,
A0306850H,R04,T18,
A0306858R,R23,T03,
A0306868N,R22,T21,
A0306874W,R01,T41,
A0306884U,R18,T13,
A0306889J,R02,T58,
A0306929U,R19,T19,
A0306930J,R04,T18,
A0306942A,R10,T31,
A0306943B,R05,T21,
A0306953Y,R22,T10,
A0306955W,R07,T05,
A0307052R,R10,T48,
A0307067E,R07,T16,
A0307072M,R08,T57,
A0307089X,R06,T03,
A0307092J,R15,T31,
A0307136L,R06,T20,
A0307142R,R04,T52,
A0307349Y,R08,T36,
A0307352L,R17,T02,
A0307356A,R15,T62,
A0307359X,R11,T09,
A0307362J,R10,T22,
A0307366B,R22,T02,
A0307367Y,R13,T45,
A0307371J,R13,T43,
A0307377X,R12,T16,
A0307379U,R21,T65,
A0307380J,R08,T50,
A0307382E,R07,T53,
A0307383A,R13,T11,
A0307390H,R05,T05,
A0307394Y,R23,T32,
A0307406L,R09,T28,
A0307417H,R13,T24,
A0307423M,R11,T64,
A0307427E,R07,T59,
A0307428A,R11,T34,
A0307430R,R20,T39,
A0307439Y,R14,T41,
A0307455A,R18,T17,
A0307458X,R21,T41,
A0307464A,R14,T08,
A0307471H,R10,T19,
A0307487U,R04,T02,
A0307493Y,R23,T30,
A0307507H,R08,T10,
A0307516H,R07,T59,
A0307520R,R20,T51,
A0307525H,R18,T04,
A0307527A,R19,T55,
A0307533J,R15,T15,
A0307571E,R07,T29,
A0307574Y,R21,T54,
A0307578R,R08,T01,
A0307581A,R10,T47,
A0307588N,R15,T25,
A0307591B,R03,T07,
A0307602N,R08,T12,
A0307606H,R06,T23,
A0307620N,R13,T27,
A0307625E,R23,T08,
A0307628Y,R21,T09,
A0307630M,R06,T03,
A0307655Y,R05,T63,
A0307667U,R20,T50,
A0307671A,R02,T58,
A0307674X,R09,T62,
A0307678N,R07,T59,
A0307689L,R03,T65,
A0307692X,R10,T37,
A0307707A,R16,T22,
A0307709Y,R12,T56,
A0307719X,R06,T07,
A0307721L,R03,T13,
A0307722J,R14,T32,
A0307723H,R04,T60,
A0307724E,R18,T49,
A0307736Y,R03,T16,
A0307754Y,R04,T28,
A0307760E,R19,T43,
A0307767R,R08,T18,
A0307772Y,R23,T43,
A0307788L,R18,T44,
A0307797L,R11,T25,
A0307799H,R15,T43,
A0307803J,R11,T10,
A0307809X,R17,T45,
A0307810M,R23,T14,
A0307813H,R11,T44,
A0307817Y,R11,T36,
A0307819W,R19,T21,
